2026학년도 1학기 성인간호학

중간고사 응답 결과
출력일: 2026-07-18

청암대학교 간호학과
※ 아래는 학생별 응답 데이터
student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
S021,D,E,D,C,B,D,A,B,D,E,E,A,C,A,A,E,A,D,C,B,C,D,E,E,E
S022,D,A,D,C,B,D,B,B,D,E,E,A,C,A,A,E,E,D,C,C,C,C,A,E,E
S023,D,A,D,E,C,D,B,B,D,E,E,A,D,A,A,E,E,D,C,C,C,C,A,E,E
S024,D,B,D,B,D,D,A,E,D,B,E,A,C,D,A,C,E,A,A,A,B,D,D,A,E
S025,C,A,D,C,B,D,B,E,E,E,C,A,C,A,A,E,C,A,C,C,B,D,A,C,B
S026,D,A,D,E,D,B,B,B,D,E,E,A,C,D,C,B,E,B,D,E,C,E,C,E,E
S027,D,E,D,A,C,E,D,B,D,D,D,A,D,A,A,E,C,C,C,D,E,D,E,C,D
S028,D,C,D,E,D,D,B,B,C,A,E,A,C,A,A,E,D,D,C,D,C,C,A,C,E
S029,E,D,D,D,B,C,B,D,D,E,E,A,C,A,C,E,D,C,C,C,A,D,D,D,E
S030,D,B,D,E,D,D,B,B,D,A,E,A,C,A,A,E,E,D,C,C,C,C,A,E,E
S031,D,A,D,E,D,A,B,B,D,E,C,A,C,A,A,E,E,D,C,D,A,C,A,A,E
S032,D,A,D,E,B,D,C,C,D,D,B,A,E,D,A,D,D,D,A,D,C,B,E,B,A
S033,D,A,D,E,D,C,A,E,B,E,E,A,C,A,A,E,B,D,C,D,C,B,A,B,C
S034,D,C,D,D,C,A,B,B,D,E,E,A,C,A,A,E,B,D,C,A,C,E,A,C,E
S035,D,A,D,D,D,B,C,B,E,E,C,A,E,A,A,E,E,A,C,C,C,B,A,A,E
S036,D,A,E,C,D,B,B,E,D,B,E,A,C,A,A,E,D,C,C,E,B,C,D,C,C
S037,D,E,D,A,B,E,A,B,B,C,D,A,C,A,E,E,E,C,A,B,C,D,A,E,E
S038,D,D,B,E,B,D,B,B,D,A,B,A,A,A,C,E,E,D,C,E,E,E,A,E,A
S039,D,A,E,E,D,B,D,B,D,B,E,A,B,D,A,B,E,E,C,D,A,C,A,E,E
S040,D,E,D,D,D,C,D,B,E,E,E,A,C,B,B,B,C,B,A,E,D,A,A,D,B
S041,D,D,B,E,B,D,E,D,D,E,B,A,C,A,A,B,E,A,B,E,A,A,D,B,C
S042,D,C,D,E,B,D,B,C,C,E,E,A,C,A,B,E,E,B,C,C,E,C,A,E,E
S043,D,A,D,D,D,A,B,B,D,C,E,A,C,B,C,E,E,D,E,B,A,C,A,E,E
S044,D,A,D,E,E,D,B,C,E,E,E,A,B,A,C,C,B,D,E,C,C,A,A,A,E
S045,D,A,D,E,D,B,B,E,D,E,C,A,C,A,D,A,E,D,D,B,C,C,A,C,E
S046,D,A,B,E,D,B,A,B,C,E,E,A,C,A,B,E,E,D,B,E,E,D,B,E,C
S047,D,A,D,E,D,D,B,A,D,E,E,A,C,A,A,E,E,E,C,D,E,C,A,E,E
S048,D,A,D,E,D,C,B,B,D,E,E,A,C,A,A,E,E,D,C,C,C,C,A,E,E
S049,E,A,D,E,D,E,E,B,D,B,C,A,C,D,A,D,E,E,C,B,A,B,B,C,E
S050,D,E,D,E,D,A,B,B,A,C,C,A,C,E,C,D,A,E,D,C,C,D,A,B,D
S051,D,A,D,E,D,B,B,B,D,D,E,A,C,A,A,E,E,B,C,C,D,C,A,E,E
S052,C,D,C,E,D,D,B,D,B,E,D,A,C,A,B,E,D,D,C,A,C,C,B,E,E
S053,A,A,D,E,D,D,B,B,D,E,E,B,C,A,A,D,E,B,C,E,A,C,C,B,A
S054,D,A,D,B,D,B,B,B,D,E,E,A,C,A,B,E,E,D,C,E,E,A,A,E,A
S055,D,A,D,E,C,D,B,B,D,E,A,A,C,A,A,D,E,C,C,A,C,B,A,A,E
S056,D,A,D,E,C,D,E,B,E,E,E,A,C,A,A,E,E,D,C,D,C,C,B,E,A
S057,D,B,D,E,C,D,E,B,D,E,B,A,C,A,D,E,E,E,C,E,C,C,A,A,E
S058,D,B,D,E,D,D,B,B,D,E,D,A,D,A,E,E,E,D,C,C,C,C,A,E,E
S059,D,C,D,E,D,D,B,B,D,C,D,A,C,A,E,E,E,A,C,C,C,E,A,E,C
S060,A,A,D,E,B,D,B,B,C,E,E,A,E,A,A,B,E,E,B,C,D,D,A,C,D
S061,D,E,D,C,D,A,B,B,A,E,E,A,C,D,A,E,B,D,B,E,C,A,A,D,E
S062,D,B,D,E,D,D,B,A,D,B,E,A,C,A,A,E,E,D,C,C,C,C,A,E,E
S063,A,D,B,E,B,C,A,D,C,A,E,A,C,B,E,E,E,B,C,D,C,C,C,E,E
S064,D,A,D,E,B,B,B,D,D,B,D,B,D,D,A,E,B,A,C,E,A,B,C,A,B
S065,D,E,D,E,D,C,B,B,D,E,E,A,D,A,C,E,E,E,C,D,E,D,A,B,E
S066,D,A,D,E,B,D,A,B,D,E,E,A,E,A,C,E,E,C,C,A,C,C,A,E,E
S067,B,A,D,E,D,D,D,B,C,A,B,A,C,A,A,E,A,A,C,A,E,B,A,E,B
S068,D,B,D,E,D,E,E,B,E,E,E,A,C,B,A,A,B,B,B,B,D,B,A,C,E
S069,D,E,D,A,D,C,B,E,D,E,B,A,E,A,B,E,E,A,D,C,A,D,A,A,E
S070,D,E,D,E,D,D,E,B,E,E,E,A,C,A,E,E,E,D,A,E,E,D,B,D,B
S071,E,A,D,E,D,D,B,B,D,E,E,A,C,E,A,E,E,D,C,C,C,C,A,A,E
S072,D,A,C,D,B,D,A,B,D,C,C,A,A,A,A,B,E,D,D,C,B,A,A,D,E
S073,E,A,D,E,D,B,B,B,D,E,A,A,A,B,C,D,E,E,C,A,D,E,A,C,E
S074,D,A,D,B,D,B,B,E,C,E,A,A,C,E,A,E,E,D,C,A,C,E,D,E,E
S075,D,B,D,C,B,E,D,C,B,E,E,A,C,A,C,E,E,E,C,C,A,E,A,E,B
S076,C,C,B,D,E,D,B,A,A,E,E,A,C,A,C,E,B,B,C,E,D,E,E,A,E
S077,D,C,D,E,B,B,B,D,D,B,E,A,B,A,A,C,E,D,C,E,C,C,A,E,E
S078,D,A,D,B,D,E,B,B,A,E,E,A,C,A,A,E,C,D,C,D,C,A,C,C,C
S079,D,D,D,D,D,A,B,B,B,E,A,A,A,D,D,E,A,B,C,C,E,D,D,C,E
S080,D,D,D,D,A,D,C,B,D,E,E,A,D,A,A,D,E,B,C,B,C,C,D,A,D
S081,D,A,D,C,B,D,C,A,D,B,E,A,C,A,A,E,B,D,C,C,A,E,A,E,E
S082,A,E,B,D,D,B,E,A,D,E,E,A,D,B,C,E,E,C,E,B,C,E,B,D,D
S083,D,A,A,E,D,E,D,B,D,E,E,A,C,A,A,D,E,A,C,E,E,A,A,E,E
S084,D,A,C,A,D,B,B,C,A,E,D,D,E,A,D,E,E,D,C,C,B,E,A,C,C
S085,D,A,D,E,B,D,B,B,B,E,E,A,C,A,A,E,E,D,C,B,C,C,E,E,E
S086,E,A,D,E,D,D,B,A,E,D,A,A,C,A,E,C,E,E,D,B,B,E,E,B,B
S087,B,D,E,E,D,E,E,A,D,D,E,A,C,D,E,E,E,A,C,A,B,C,E,B,C
S088,D,D,D,E,D,D,B,A,D,E,E,A,A,D,A,D,A,D,C,E,E,B,A,E,E
S089,D,A,D,B,B,B,B,C,D,E,E,A,C,A,A,C,E,D,C,B,D,D,B,D,E
S090,A,C,D,E,C,D,C,B,D,C,B,A,C,A,C,E,D,D,C,C,B,B,D,C,E
S091,C,C,D,C,B,D,D,B,B,E,B,E,C,A,A,E,E,A,D,A,D,A,C,B,A
S092,D,A,D,E,B,D,C,B,D,E,A,A,C,A,C,C,E,D,C,A,C,C,A,A,E
S093,D,E,D,D,B,D,B,B,D,D,E,A,A,C,A,E,E,E,C,A,B,C,E,B,E
S094,D,A,D,E,B,D,D,B,D,E,E,A,C,A,A,E,E,D,C,C,C,C,A,D,E
S095,D,D,D,E,D,D,B,C,B,D,D,A,C,A,A,E,C,E,C,B,A,E,A,E,E
S096,D,C,C,B,D,D,B,B,A,E,E,A,C,A,C,A,A,D,D,C,B,A,A,E,E
S097,D,A,C,E,D,B,C,B,E,A,E,A,C,D,B,E,E,D,C,E,C,D,C,C,D
S098,D,A,D,E,C,D,B,B,D,A,E,A,C,A,A,E,E,D,C,C,C,C,A,A,E
S099,D,A,D,E,D,D,B,E,D,D,B,A,C,D,C,A,E,D,B,A,D,D,C,B,E
S100,D,A,D,E,B,C,E,E,D,E,A,A,C,A,A,A,E,A,C,C,C,E,E,E,E
S101,E,C,C,A,B,B,B,B,A,E,E,C,C,A,A,B,B,D,D,D,D,E,A,B,C
S102,D,E,E,E,B,D,D,B,D,E,E,A,C,A,A,E,E,D,C,C,C,E,A,E,E
S103,D,D,C,C,B,D,E,A,A,E,D,A,C,A,A,B,A,D,C,B,C,B,B,C,C
S104,D,A,D,E,D,B,D,B,A,E,B,A,B,A,A,D,E,E,C,C,C,D,A,A,E
S105,C,A,B,D,B,D,B,B,D,E,E,A,C,A,A,E,E,D,C,B,C,C,B,A,E
S106,D,A,E,E,D,B,B,E,D,E,B,A,E,A,A,E,E,D,C,C,A,C,C,D,E
S107,D,C,A,C,D,D,B,E,D,E,E,A,C,A,A,A,D,A,C,C,C,C,A,E,B
S108,D,B,D,E,B,B,B,C,D,E,E,A,B,A,C,E,E,D,C,C,B,A,E,D,E
S109,D,A,D,B,D,D,A,C,D,C,D,A,C,A,E,E,E,E,D,D,C,D,D,C,E
S110,D,A,B,D,D,D,A,D,E,B,A,A,A,A,D,B,E,D,C,C,B,A,A,C,A
S111,D,A,D,E,D,D,C,B,D,B,E,A,C,C,B,E,D,D,C,D,C,D,A,E,E
S112,D,A,C,E,D,D,B,B,A,D,C,A,C,A,A,E,E,D,C,A,C,A,A,E,E
S113,D,E,D,E,D,E,B,B,E,A,B,A,C,A,C,A,B,D,C,C,B,B,A,B,E
S114,D,A,D,E,B,D,B,B,D,C,E,A,C,A,A,E,D,E,C,E,C,C,E,C,E
S115,D,A,D,E,D,E,B,B,B,E,B,A,D,A,B,E,C,B,E,D,A,B,A,E,E
S116,D,D,A,E,D,D,B,C,A,E,D,A,C,D,A,E,E,C,D,D,E,D,A,E,E
S117,D,A,D,B,B,B,C,B,D,E,E,A,C,C,A,E,E,E,C,B,B,C,A,B,E
S118,D,A,E,C,D,A,E,B,E,B,E,A,B,A,A,E,C,B,C,C,B,A,C,C,E
S119,D,C,D,E,D,D,C,B,C,E,E,A,C,A,A,E,C,D,E,D,C,C,B,E,E
S120,D,A,D,E,D,D,B,B,D,E,E,A,C,A,B,E,E,D,D,A,E,E,A,E,E
S121,D,A,D,E,B,D,B,B,D,B,E,A,C,A,A,E,E,D,C,C,D,C,A,E,E
S122,D,D,D,E,D,D,E,B,D,C,E,A,C,A,A,E,E,D,C,C,D,C,D,E,A
S123,D,B,C,D,D,E,B,B,B,E,B,E,C,A,D,C,B,E,C,E,A,E,A,B,C
S124,E,A,D,E,D,D,B,D,E,C,D,A,D,E,A,E,E,C,A,A,D,E,A,E,A
S125,D,E,E,E,B,C,B,D,C,E,E,A,D,B,E,C,E,C,C,E,D,A,A,B,A
S126,D,D,C,B,D,B,B,C,C,A,B,E,A,D,A,E,B,B,B,B,C,E,C,C,D
S127,D,A,D,B,D,A,B,B,D,E,E,A,B,A,A,E,E,D,C,C,E,C,A,D,B
S128,D,E,D,E,D,E,A,D,D,E,E,A,C,A,B,E,E,D,C,C,B,C,C,C,B
S129,B,D,B,E,D,B,A,E,A,B,E,A,B,B,D,B,E,B,A,B,C,B,A,A,E
S130,E,E,D,B,D,B,D,B,A,C,E,A,B,A,D,E,E,D,E,A,B,A,D,E,B
S131,D,C,D,E,B,D,B,B,B,D,E,A,E,A,C,B,E,D,E,A,E,D,A,A,D
S132,D,A,D,E,B,D,B,B,D,E,E,A,C,A,A,B,E,D,C,C,C,C,D,E,E
S133,D,A,D,E,C,D,B,B,A,E,E,A,C,A,A,D,E,D,B,C,E,A,C,E,C
S134,B,D,D,E,D,C,B,B,E,E,B,A,C,C,A,E,E,B,C,A,B,E,A,C,D
S135,E,A,D,D,D,D,B,B,E,D,E,A,A,A,E,A,D,D,C,E,C,C,A,E,E
S136,C,A,C,D,D,D,A,C,A,D,C,A,C,A,C,A,E,E,B,E,E,A,C,A,E
S137,D,E,D,C,D,B,D,E,D,B,B,A,B,A,A,E,A,B,C,A,C,B,D,D,E
S138,D,A,D,E,D,E,E,B,D,E,E,A,C,A,A,C,E,C,C,E,E,C,A,E,C
S139,C,C,D,C,C,E,B,B,D,B,E,A,C,A,B,D,B,A,A,C,C,E,E,A,E
S140,D,E,D,D,D,A,B,B,E,C,B,C,D,B,C,C,E,A,B,A,C,A,A,C,E
S141,D,A,D,E,B,D,B,B,D,E,D,A,C,D,A,E,E,C,C,C,C,B,A,E,E
S142,D,A,A,E,D,C,D,B,A,B,C,A,C,A,C,D,E,D,B,A,C,C,C,A,D
S143,E,E,D,C,D,D,B,E,E,D,B,A,C,A,C,E,E,C,E,E,C,E,E,A,C
S144,D,B,D,E,D,D,B,B,E,D,A,A,C,A,A,E,E,D,C,A,C,B,A,E,E
S145,C,C,D,D,D,D,E,A,D,E,E,A,C,A,D,E,E,E,C,C,C,C,D,A,E
S146,D,C,D,E,B,D,A,B,D,B,E,A,C,A,A,E,E,D,C,A,A,C,C,D,E
S147,D,A,E,E,B,D,B,B,D,E,E,A,D,A,A,D,D,A,B,A,A,B,E,D,E
S148,B,B,E,E,D,D,E,E,B,D,E,A,E,C,D,B,E,A,D,E,C,A,E,A,E
S149,D,E,D,A,D,C,A,C,C,D,B,A,C,A,A,A,A,C,C,C,E,A,D,A,B
S150,D,B,D,A,D,C,E,D,D,E,E,A,C,E,A,E,E,C,C,E,B,D,A,E,E
S151,D,C,D,E,C,A,A,B,D,B,E,A,C,A,A,A,E,D,C,A,D,C,D,D,B
S152,D,A,D,E,D,D,B,B,D,A,A,A,A,A,E,E,E,B,C,C,B,C,E,E,E
S153,E,B,D,A,D,A,D,B,C,C,E,A,C,A,A,E,E,E,D,A,B,E,B,B,A
S154,D,A,B,A,D,D,D,B,D,A,A,A,A,D,C,C,E,E,D,C,A,D,C,A,D
S155,A,C,D,A,B,D,A,B,B,A,E,B,C,A,D,E,A,C,A,C,D,C,B,B,E
S156,D,A,D,E,B,C,B,B,A,E,E,A,C,A,A,E,E,D,E,A,D,C,A,E,E
S157,D,A,D,E,B,A,B,D,C,E,A,A,C,A,E,E,E,B,C,C,E,C,E,E,E
S158,B,D,D,C,D,D,B,B,C,E,E,A,C,A,A,E,E,A,A,C,C,A,A,A,E
S159,A,A,D,E,D,D,A,D,E,A,A,A,C,A,A,A,E,C,B,D,C,D,D,B,C
S160,D,A,E,A,C,A,B,B,D,A,E,A,C,A,A,D,E,C,C,A,C,C,A,B,E
S161,D,B,A,E,D,C,E,C,B,E,E,A,C,A,A,E,E,C,C,B,C,E,A,E,E
S162,D,B,D,C,D,D,B,B,D,B,D,A,C,A,A,C,E,E,C,E,C,A,A,C,E
S163,D,B,A,D,D,C,D,B,D,E,D,A,C,A,A,E,E,C,D,D,C,B,B,B,C
S164,D,B,D,D,D,B,B,B,C,E,C,A,C,A,E,E,E,D,C,E,C,D,A,E,D
S165,D,E,E,C,D,E,C,B,D,D,E,A,E,C,E,E,A,D,C,C,B,C,C,C,C
S166,D,A,D,D,D,D,B,D,D,E,E,A,C,A,A,C,E,A,C,E,D,C,D,E,E
S167,D,A,D,E,D,A,B,B,D,E,E,A,C,A,A,E,E,D,C,A,C,C,D,E,E
S168,D,A,D,E,B,D,B,B,D,D,C,A,C,A,A,E,E,D,C,C,C,D,A,D,E
S169,C,A,B,A,D,D,D,B,D,B,E,A,C,A,A,C,C,A,C,C,C,B,A,A,E
S170,D,A,D,E,D,D,B,B,B,E,E,A,C,A,C,E,E,D,C,C,C,E,A,A,D
S171,B,B,D,B,D,D,E,B,D,E,E,A,C,B,D,E,E,C,C,C,C,C,A,D,E
S172,D,A,D,A,D,D,D,B,D,E,E,A,C,A,A,E,E,D,B,A,C,B,E,E,B
S173,E,A,D,C,B,B,B,B,D,E,E,A,B,A,A,E,D,D,C,E,D,C,A,E,E
S174,D,B,D,B,B,C,A,B,D,E,E,A,C,A,C,E,E,B,C,D,A,A,A,E,D
S175,B,B,A,D,D,A,A,C,A,B,D,A,A,A,D,E,D,B,D,D,C,C,D,A,E
S176,D,D,D,E,B,B,B,E,D,D,B,A,C,A,A,E,E,D,C,D,C,D,A,E,E
S177,D,D,D,E,D,C,B,C,D,E,E,E,E,B,A,B,E,C,C,B,E,E,A,E,B
S178,E,A,B,A,D,D,B,B,A,B,E,A,B,C,A,A,E,D,D,E,E,C,A,D,E
S179,D,A,D,C,D,C,B,B,D,E,E,A,C,A,A,D,E,C,C,C,C,C,C,E,E
S180,D,A,C,C,D,D,B,B,D,D,E,A,E,A,A,E,E,D,D,B,C,B,B,B,D
S181,D,A,D,E,D,D,B,B,D,E,E,A,C,A,D,E,E,B,A,A,C,C,C,D,E
S182,D,A,C,D,D,B,B,E,D,B,E,A,E,D,A,E,E,D,E,B,B,C,A,B,E
S183,D,B,D,E,C,B,E,B,D,E,E,A,C,D,E,E,B,D,C,A,C,C,A,A,D
S184,C,D,A,E,D,A,B,B,D,C,A,A,C,A,A,E,E,D,E,C,C,A,A,E,E
S185,D,D,E,B,D,D,B,B,D,D,E,C,C,C,A,E,E,D,C,C,A,E,A,E,A
S186,D,E,D,D,D,A,B,A,B,C,C,A,C,C,C,C,E,B,C,D,A,C,C,B,D
S187,D,B,D,E,D,D,A,C,D,A,E,A,C,A,A,E,E,D,A,A,C,C,A,A,D
S188,A,A,D,C,D,E,B,B,D,B,A,A,C,A,A,A,A,D,C,A,B,B,B,D,E
S189,D,B,D,E,A,D,B,B,D,E,E,D,C,A,A,C,E,D,C,A,C,C,A,E,E
S190,D,A,D,E,B,E,B,B,D,E,A,A,A,A,C,E,E,C,A,C,E,E,A,D,E
S191,D,A,B,E,B,D,E,B,D,E,A,A,C,A,C,E,E,B,C,E,B,D,A,C,E
S192,C,E,E,E,D,D,B,B,C,E,E,A,C,D,A,A,C,A,C,A,D,D,A,E,E
S193,D,A,D,E,D,C,B,B,D,C,D,A,E,A,A,E,E,B,C,E,C,C,A,E,E
S194,D,A,D,E,D,D,A,C,D,A,D,A,C,A,A,D,B,B,C,A,C,C,E,C,D
S195,D,A,D,D,D,D,B,B,D,E,E,A,C,A,A,E,E,D,C,C,A,C,A,D,E
S196,D,A,D,E,D,D,B,B,C,E,A,A,C,A,A,B,E,C,C,C,C,C,A,C,E
S197,B,B,D,D,C,D,D,B,E,D,C,A,C,D,A,A,E,E,C,C,E,E,E,E,C
S198,D,A,B,B,D,D,A,B,D,B,E,A,C,A,A,E,E,D,C,B,C,E,B,E,E
S199,D,A,D,E,D,D,B,C,C,E,E,A,C,A,E,E,A,D,C,C,C,B,D,E,E
S200,D,A,D,E,D,D,B,D,A,C,B,A,C,A,A,E,B,D,C,C,E,C,A,E,D
S201,D,A,D,B,D,D,B,B,D,E,E,A,C,A,A,E,E,A,C,C,C,C,D,E,E
S202,D,C,D,B,D,D,B,B,D,C,B,A,C,A,A,D,D,D,C,A,C,C,A,B,D
S203,D,B,D,D,D,E,A,A,A,C,E,A,E,E,D,E,E,B,E,E,E,C,A,A,E
S204,D,B,D,E,B,D,B,B,D,E,E,A,C,C,A,E,E,D,C,C,C,C,A,E,E
S205,D,A,D,E,B,D,B,B,B,E,E,A,C,A,D,C,E,E,C,B,B,B,A,D,E
S206,D,A,D,E,B,A,B,D,D,E,E,A,C,A,A,E,E,D,C,C,C,C,A,E,E
S207,D,A,B,E,D,A,B,B,D,B,E,A,C,A,A,E,E,C,C,A,A,C,A,D,E
S208,D,B,D,E,D,B,B,E,C,E,E,A,C,A,A,E,E,D,C,C,C,C,A,E,E
S209,D,A,D,E,D,D,B,B,B,E,E,A,C,A,A,E,C,D,C,A,C,B,A,E,E
S210,A,A,D,E,B,C,C,B,D,E,E,A,C,A,A,E,C,D,C,B,C,C,A,E,D
S211,D,A,D,A,D,C,C,B,B,E,E,A,E,A,A,B,E,D,C,B,C,C,A,B,D
S212,D,A,E,E,D,D,B,B,D,B,E,A,C,A,A,A,E,E,B,E,A,E,A,A,E
S213,D,D,D,D,D,D,B,B,D,E,E,A,E,A,E,C,B,C,A,E,E,B,B,C,B
S214,D,E,D,E,E,D,E,C,D,A,A,A,B,A,D,E,E,A,C,B,E,E,A,A,A
S215,D,A,D,B,D,E,B,B,D,E,E,A,C,A,A,E,B,D,C,A,C,D,A,E,E
S216,E,C,B,E,B,B,B,B,D,C,A,A,C,A,A,E,E,D,C,C,A,C,C,E,E
S217,A,E,C,B,D,B,B,B,C,E,E,A,C,C,A,B,E,C,C,C,C,C,B,B,E
S218,D,A,D,A,D,D,E,A,D,D,E,A,C,A,A,E,E,D,D,B,C,C,A,E,D
S219,C,E,D,E,D,D,B,B,D,C,E,A,B,B,B,E,B,C,E,A,B,D,A,C,D
S220,D,A,D,E,D,D,B,B,D,D,E,A,C,A,A,E,E,E,C,E,B,C,C,E,E
S221,D,A,C,D,D,E,E,C,A,C,E,A,D,A,B,E,C,D,C,C,C,A,A,D,E
S222,D,A,C,E,E,C,B,C,C,E,E,A,C,A,A,D,E,D,C,D,E,D,D,A,B
S223,D,A,C,E,B,A,B,E,D,E,C,A,E,A,D,D,E,E,D,A,B,D,A,D,E
S224,D,E,D,D,D,D,B,B,E,C,C,A,C,A,A,E,E,D,A,E,E,C,D,B,E
S225,A,A,C,D,D,C,B,D,D,E,E,E,C,A,B,E,A,C,C,C,C,D,C,E,A
S226,D,A,E,E,C,D,A,D,D,A,E,A,C,A,D,C,E,D,C,E,B,A,A,B,A
S227,D,C,C,A,B,D,D,B,B,E,E,A,C,A,A,B,E,C,C,C,C,D,A,B,E
S228,D,A,D,D,B,D,A,B,B,D,E,A,A,D,E,E,E,D,A,C,D,C,A,C,E
S229,D,A,D,D,D,D,E,B,B,D,E,A,C,B,A,E,E,C,A,E,C,C,A,C,E
S230,D,B,D,A,D,A,D,B,C,E,E,A,C,A,A,B,E,A,C,A,B,B,A,A,E
S231,D,C,D,E,D,D,E,B,D,E,E,B,C,A,A,C,E,C,C,B,B,D,C,E,E
S232,D,A,D,E,D,D,B,B,D,E,E,A,E,A,A,E,E,B,C,B,C,B,A,E,D
S233,B,D,D,B,B,D,B,B,E,C,A,A,A,A,D,B,A,A,A,D,B,C,A,E,C
S234,D,E,C,E,A,D,A,B,A,D,E,A,B,C,A,E,E,D,C,C,B,D,A,B,A
S235,A,D,A,E,B,D,B,B,B,E,E,A,C,C,C,B,C,A,B,B,E,B,D,B,E
S236,C,B,D,E,B,D,D,D,D,E,E,A,C,D,E,E,E,D,C,B,C,C,A,C,E
